Date,Country,iso3,aqi,co,no2,o3,pm10,pm25,so2
2016-01-18,Thailand,THA,,8.433333333,10.8,13.36666667,34.66666667,116,4.316666667
2016-01-19,China,CHN,123.3333333,11.75192308,20.22307692,15.74509804,76.55769231,142.6923077,17.92884615
2016-01-19,India,IND,,8.244444444,10.54444444,9.388888889,136.8,205.9090909,3.655555556
2016-01-19,Thailand,THA,,8.766666667,11.72,13.55,37,142,4.1
2016-01-20,China,CHN,143.6666667,12.08269231,21.16153846,13.30208333,71.48076923,141.9038462,17.74615385
2016-01-20,India,IND,,7.544444444,11.21111111,10.43333333,135.6,208.9090909,4.522222222
2016-01-20,Thailand,THA,,8.366666667,11.92,16.46666667,43.33333333,152,3.85
2016-01-21,China,CHN,166.6666667,11.44230769,18.81346154,12.37916667,59.44230769,118.5769231,14.57884615
2016-01-21,India,IND,,6.211111111,8.566666667,10.11111111,115.8,182.8181818,3.733333333
2016-01-21,Thailand,THA,,7.76,11.34,16.18,41,154,4.34
2016-01-22,China,CHN,86,9.746153846,14.41538462,14.75625,48.32692308,100.9230769,10.875
2016-01-22,India,IND,,6.277777778,9.133333333,10.04444444,152.8,207.7272727,4.011111111
2016-01-22,Thailand,THA,,6.76,10.22,16.54,35,122,4.9
2016-01-23,China,CHN,60.66666667,8.234615385,10.31538462,19.28333333,47.07692308,84.46153846,9.619230769
2016-01-23,India,IND,,7.088888889,9.944444444,7.666666667,155.2,201.8181818,4.166666667
2016-01-23,Thailand,THA,,7,10.6,18.92,37.6,64,5.74
2016-01-24,China,CHN,45.66666667,7.951923077,10.33461538,21.4,54.09615385,81.19230769,11.99615385
2016-01-24,India,IND,,8.277777778,9.222222222,11.45555556,145,205.5454545,4.6
2016-01-24,Thailand,THA,,8.24,9.88,22.78,39.6,79,6.88
2016-01-25,China,CHN,64,10.01538462,16.12692308,18.18431373,60.80769231,101.3846154,15.99038462
2016-01-25,India,IND,,10.15555556,9.377777778,8.666666667,120.6,212.1818182,4.866666667
2016-01-25,Thailand,THA,,7.64,8.4,16.84,25.6,22,4.325
2016-01-26,China,CHN,59.66666667,10.94807692,22.53076923,13.5372549,65.15384615,120.0961538,16.42307692
2016-01-26,India,IND,,11.25,9.775,13.0875,146,209.6,5.175
2016-01-26,Thailand,THA,,7.46,10.62,17.66,31.4,24,3.76
2016-01-27,China,CHN,126,13.375,26.59423077,9.831372549,71.92307692,136.6923077,18.71730769
2016-01-27,India,IND,,7.277777778,11.32222222,17.68888889,132.2,208.2727273,4.155555556
2016-01-27,Thailand,THA,,8.26,11.34,16.08,37.2,40,4.9
2016-01-28,China,CHN,141,14.78846154,26.41538462,8.825490196,75.38461538,141.8461538,17.75384615
2016-01-28,India,IND,,8.9,9.5625,7.671428571,140,217.5,5.4875
2016-01-28,Thailand,THA,,10,16.14,15.24,51.4,76,5.18
2016-01-29,China,CHN,102.6666667,12.67692308,20.68269231,13.32352941,64.11538462,123.8653846,14.72692308
2016-01-29,India,IND,,10.58888889,11.93333333,9.555555556,151.4,223.9090909,4.444444444
2016-01-29,Thailand,THA,,11.14,20.24,22.28,62,93,4.9
2016-01-30,China,CHN,78.66666667,10.73846154,16.83269231,12.954,60.94230769,123.1730769,13.37307692
2016-01-30,India,IND,,10.45555556,10.95555556,10.36666667,143.8,223.1818182,5.733333333
2016-01-30,Thailand,THA,,8.24,12.64,19.26,50.4,90,3.74
2016-01-31,China,CHN,102.3333333,10.72884615,16.13461538,14.642,55.92307692,118.5,13.26923077
2016-01-31,India,IND,,8.675,10.675,8.685714286,102.75,202.3,5.7125
2016-01-31,Thailand,THA,,6.56,10.04,16.02,37.2,90,4.02
2016-02-01,China,CHN,91,12.23269231,16.78653846,15.21372549,61.07692308,123.0576923,15.35
2016-02-01,India,IND,,8.222222222,11.21111111,6.825,99.2,168.8181818,4.611111111
2016-02-01,Thailand,THA,,7.64,11.52,15.2,41.4,72,4.88
2016-02-02,China,CHN,90.66666667,12.79807692,18.95,16.7372549,66.65384615,134.6730769,16.62884615
2016-02-02,India,IND,,7.344444444,10.94444444,8.125,103,161.6363636,5.6
2016-02-02,Thailand,THA,,9.3,13,20.18,51.8,96,4.675
